Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
FA MARINGA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
FERPAR INDÚSTRIA E COMERCIO DE AÇO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
FERRARI ZAGATTO COMERCIO DE INSUMOS S.A.,ND,ND,ND,ND,Sub-região 15,Maringá
FERRO VELHO DO POLACO LTDA - EPP,ND,ND,ND,ND,Sub-região 15,Maringá
FIRCON CONSTRUÇÃO CIVIL LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
FITOACTIVE SUPLEMENTOS ALIMEN TARES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
FLEXSPUMA COLCHOES E ESPUMA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
FREFER S.A. INDÚSTRIA E COMÉRCIO DE FERRO E AÇO,ND,ND,ND,ND,Sub-região 15,Maringá
GELITA DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
GERDAU ACOMINAS S/A,ND,ND,ND,ND,Sub-região 15,Maringá
GERDAU ACOS LONGOS S.A.,ND,ND,ND,ND,Sub-região 15,Maringá
GONÇALVES E TORTOLA S/A,ND,ND,ND,ND,Sub-região 15,Maringá
"GONZALES, SENDESKI & CIA LTDA.",ND,ND,ND,ND,Sub-região 15,Maringá
GOPAR INDÚSTRIA DE DETERGENTES E DESINFETANTES LTDA.,ND,ND,ND,ND,Sub-região 15,Maringá
GP - GRUPO PARANA,ND,ND,ND,ND,Sub-região 15,Maringá
GXS FERRO E AÇO LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
HIDRO METALÚRGICA ZM LTDA.,ND,ND,ND,ND,Sub-região 15,Maringá
INDUSTRIA DE MASSAS SAO GABRIEL LTDA EM RECUPERACAO JUDICIAL,ND,ND,ND,ND,Sub-região 15,Maringá
INDUSTRIA E COMERCIO DE PLACAS BULMARPLAC LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
INDUSTRIA E COMERCIO DE SORVETES SAROM LTDA - ME,ND,ND,ND,ND,Sub-região 15,Maringá
INDUSTRIA TEXTIL APUCARANA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 15,Maringá
ISOPLAS IND COMERCIO CALIBRADORES P NEUS,ND,ND,ND,ND,Sub-região 15,Maringá
ISPL - INDUSTRIA SULAMERICANA DE PRODUTOS DE LIMPEZA LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
JBS S.A.,ND,ND,ND,ND,Sub-região 15,Maringá
K M K COMERCIO DE ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
LATINA AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
LATINA AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,ND,ND,ND,ND,Sub-região 15,Maringá
